contribution_date,amount,contributor_name,sector_category,alignment,candidate_name,office
2022-06-13,57200.0,Montefiore Health System,hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2021-09-28,47100.0,New York State Dental Association PAC (NYSDAPAC),industry_association,neutral,Kathleen C. Hochul,governor
2021-11-02,47100.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2021-09-23,35000.0,Elevance,health_insurer,neutral,Kathleen C. Hochul,governor
2021-10-09,30000.0,NY Health Care PAC,industry_association,neutral,Kathleen C. Hochul,governor
2021-11-30,25000.0,Montefiore Health System,hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2021-11-01,25000.0,Montefiore Health System,hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2021-11-02,22600.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2022-08-03,20000.0,NewYork-Presbyterian,hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2021-12-06,19700.0,Montefiore Health System,hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2022-07-11,19300.0,Montefiore Health System,hospital_health_system_provider,neutral,Gustavo Rivera,state_senate
2023-11-15,18000.0,TriADD PAC,industry_association,neutral,Kathleen C. Hochul,governor
2024-04-30,18000.0,Montefiore Health System,hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2025-01-10,18000.0,District Council 37 (DC37),union,blocker,Kathleen C. Hochul,governor
2025-06-13,18000.0,NYU Langone Health,hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2023-04-18,18000.0,New York State Dental Association PAC (NYSDAPAC),industry_association,neutral,Kathleen C. Hochul,governor
2021-09-23,15000.0,Empire State Assn. of Assisted Living (ESAAL),industry_association,neutral,Kathleen C. Hochul,governor
2024-08-07,15000.0,Greater New York Nursing Home Association,industry_association,neutral,Kathleen C. Hochul,governor
2021-10-23,15000.0,Medical Society of the State of New York,industry_association,neutral,Kathleen C. Hochul,governor
2021-10-12,14000.0,Mount Sinai Health System,hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2025-01-08,13000.0,NewYork-Presbyterian,hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2022-02-04,12500.0,Montefiore Health System,hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2022-05-18,11800.0,New York State Dental Association PAC (NYSDAPAC),industry_association,unknown,Andrea Stewart-Cousins,state_senate
2022-01-14,11800.0,Montefiore Health System,hospital_health_system_provider,neutral,Gustavo Rivera,state_senate
